rowIndex,topLevel,genre,nameCleanData,titleEnBhajanAudio,namesMatch,videoId,youtubeUrl
1,Shivji,Mantra,Panchakshari Mantra,Panchakshari Mantra,True,bc1obsjb58c,https://youtu.be/bc1obsjb58c?si=oQIb1G1Fx1wOJ8Gw
2,Shivji,Mantra,Mahamrityunjay Mantra,Mahamrityunjay Mantra,True,OV9LXGOXjgs,https://youtu.be/OV9LXGOXjgs?si=0izGm1eYkmBS0343
3,Shivji,Mantra,Rudra Mantra,Rudra Mantra,True,iEAPaA9Yf1s,https://youtu.be/iEAPaA9Yf1s?si=lGmdeqXsCqtQQzx1
4,Shivji,Mantra,Shiv Gayatri Mantra,Shiv Gayatri Mantra,True,ytV08faCJwg,https://youtu.be/ytV08faCJwg?si=eXY_cZGO-FsueNS1
5,Shivji,Mantra,Shiv Stuti Mantra,Shiv Stuti Mantra,True,Ly_Md1OOyTE,https://youtu.be/Ly_Md1OOyTE?si=nCT-_G7dkRiPuF7QQ
6,Shivji,Strotam,Shiv Tandav Stotram,Shiv Tandav Stotram,True,S980-z1qx3g,https://youtu.be/S980-z1qx3g?si=skvwCt7XGHenuWbP
7,Shivji,Strotam,Shiv Panchakshar Stotram:,Shiv Panchakshar Stotram:,True,3rJ4HVA9cII,https://youtu.be/3rJ4HVA9cII?si=euKFMGNZX2c0rt5p
8,Shivji,Strotam,Shiv Mahimn Stotra:,Shiv Mahimn Stotra:,True,TXXioV0_9-o,https://youtu.be/TXXioV0_9-o?si=wEaulnEEeYWdA4C5
9,Shivji,Strotam,Vedasar Shiv Stotram,Vedasar Shiv Stotram,True,3_8Z1uqPWZ0,https://youtu.be/3_8Z1uqPWZ0?si=2Vlmkq5w0gw_xDCZ
10,Shivji,Chalisa,Shiv Chalisa,Shiv Chalisa,True,-mUoM-sSzkc,https://youtu.be/-mUoM-sSzkc?si=a3TP0d2Z_b5S-kCr
11,Shivji,Ashtakam,Shri Rudrashtakam (Sankshipt Ansh - Tulsidas Rachit),Shri Rudrashtakam (Sankshipt Ansh - Tulsidas Rachit),True,081bLdQKX-Q,https://youtu.be/081bLdQKX-Q?si=msq2vM1Qng2BQD9H
12,Shivji,Stuti,Shiv Stuti,Shiv Stuti,True,JfXPpBVPkcU,https://youtu.be/JfXPpBVPkcU?si=fMvP8aJMsyMYOHU3
13,Shivji,Aarti,Om Jai Shiv Omkara,Om Jai Shiv Omkara,True,BhwOproElxU,https://youtu.be/BhwOproElxU?si=hlOKkSda3B3Cka2O
14,Shivji,Shloka,Dhyan Shlok (Puja Hetu),Dhyan Shlok (Puja Hetu),True,HdFD5S7pdtw,https://youtu.be/HdFD5S7pdtw?si=LGbLbPv5GY_tE3Ab
15,Shivji,Bhajan,Shiv Shankar Ko Jisne Puja,Shiv Shankar Ko Jisne Puja,True,w7HbgKcQS_w,https://youtu.be/w7HbgKcQS_w?si=KCJVUE_VkpIA8tKc
16,Shivji,Bhajan,Subah Subah Le Shiv Ka Naam,Subah Subah Le Shiv Ka Naam,True,TplRlUULXz8,https://youtu.be/TplRlUULXz8?si=w-ebBCmQx88smeOh
17,Shivji,Bhajan,He Shambhu Baba Mere Bhole Nath,He Shambhu Baba Mere Bhole Nath,True,i6rDYxNpubk,https://youtu.be/i6rDYxNpubk?si=Z1cSGYW4UCmuEsd6
18,Shivji,Bhajan,Chalo Shiv Shankar Ke Mandir Mein Bhakto,Chalo Shiv Shankar Ke Mandir Mein Bhakto,True,uY5YAvygOJs,https://youtu.be/uY5YAvygOJs?si=8dBC9W82qOAvOxTd
19,Shivji,Bhajan,Bhole Bhandari Sabke Hi Bhandar Bhare,Bhole Bhandari Sabke Hi Bhandar Bhare,True,zfhnJkZbtB0,https://youtu.be/zfhnJkZbtB0?si=J0cNKvR_xcs-AdL7
20,Shivji,Bhajan,Shankar Teri Jata Mein Behti Hai Gangdhara,Shankar Teri Jata Mein Behti Hai Gangdhara,True,ZxAZksjaUUU,https://youtu.be/ZxAZksjaUUU?si=pFBqlNlDgtv6Qwxu
21,Shivji,Katha,Sampurn Shiv Puran Saar,Sampurn Shiv Puran Saar,True,d-zWzSTNOMo,https://youtu.be/d-zWzSTNOMo?si=8Gtyc3crPXZxHvXM
22,Shivji,Katha,Shiv Ji Ka Janm Kaise Hua,Shiv Ji Ka Janm Kaise Hua,True,g4iZhS7EvQc,https://youtu.be/g4iZhS7EvQc?si=tajjxxWlYauvwgSt
23,Shivji,Katha,Sampurn Gatha Neelkanth Ki,Sampurn Gatha Neelkanth Ki,True,zUdp2fQJemw,https://youtu.be/zUdp2fQJemw?si=jdzUfbtXHLEoG4OC
24,Shivji,Katha,Nandi Kaise Bane Shivji Ke Sawari,Nandi Kaise Bane Shivji Ke Sawari,True,2hUQyXzKgOo,https://youtu.be/2hUQyXzKgOo?si=dvtDXcOirPxrEizn
25,Shivji,Katha,Aakhir Kyon Shiv-Parvati Ne Liya Tha Ardhanarishwar Roop?,Aakhir Kyon Shiv-Parvati Ne Liya Tha Ardhanarishwar Roop?,True,4lokTkaO9xs,https://youtu.be/4lokTkaO9xs?si=C19AkxnlrW3NFtQ2
26,Shivji,Katha,Kyon Mila Tha Chandrama Ko Shrap?,Kyon Mila Tha Chandrama Ko Shrap?,True,iEIJBAKx0wI,https://youtu.be/iEIJBAKx0wI?si=bBiJfhIDY2Psljnj
27,Shivji,Katha,12 Jyotirling Ki Kathayein Kya Hai?,12 Jyotirling Ki Kathayein Kya Hai?,True,My9aRwekYGk,https://youtu.be/My9aRwekYGk?si=jbP4Jiv89W7Ij-D7
28,Shivji,Katha,Shiv Ne Apne Hi Putra Ganesh Ka Sir Kyon Kata?,Shiv Ne Apne Hi Putra Ganesh Ka Sir Kyon Kata?,True,oa1tHpermgU,https://youtu.be/oa1tHpermgU?si=VvSwaXWDjjjQ4FfT
29,HanumanJi,Mantra,Hanuman Beej Mantra,Hanuman Beej Mantra,True,o5Uk1sxGBZU,https://youtu.be/o5Uk1sxGBZU?si=aIuPQqmzIrromxMt
30,HanumanJi,Mantra,Hanuman Gayatri Mantra:,Hanuman Gayatri Mantra:,True,AXDLxXIbxAs,https://youtu.be/AXDLxXIbxAs?si=LRLn7ZBIQYzSWhry
31,HanumanJi,Mantra,Manojavam Marutatulyavegam Mantra:,Manojavam Marutatulyavegam Mantra:,True,iWd6VAWduZg,https://youtu.be/iWd6VAWduZg?si=qrMcv4ayCSmC3X_q
32,HanumanJi,Mantra,Rudravatar Hanuman Mantra (Mool Mantra:),Rudravatar Hanuman Mantra (Mool Mantra:),True,BYDOl5Sm-HE,https://youtu.be/BYDOl5Sm-HE?si=80FQdV8AYyPkhQOY
33,HanumanJi,Mantra,Anjaneya Mantra,Anjaneya Mantra,True,OhF0O9nb5t8,https://youtu.be/OhF0O9nb5t8?si=FNJNYprwyEwqcGsC
34,HanumanJi,Mantra,Pramukh Mantra:,Pramukh Mantra:,True,FUpzgvsWkL8,https://youtu.be/FUpzgvsWkL8?si=XDpQmK9jpt227gC0
35,HanumanJi,Mantra,Raksha Kavach Mantra:,Raksha Kavach Mantra:,True,_97POkIQ_kQ,https://youtu.be/_97POkIQ_kQ?si=2Nyp0GAVtCXv1eOf
36,HanumanJi,Strotam,Maruti Stotra,Maruti Stotra,True,V1-7O0EPaJk,https://youtu.be/V1-7O0EPaJk?si=0-xX1NUeG-kZ76qS
37,HanumanJi,Strotam,Shri Hanuman Tandav Stotra,Shri Hanuman Tandav Stotra,True,AjCLVm6gKQc,https://youtu.be/AjCLVm6gKQc?si=acKj8AiCXoLASvM8
38,HanumanJi,Strotam,Shri Anjaneya Dwadashnam Stotram,Shri Anjaneya Dwadashnam Stotram,True,BjvVJOS7xPE,https://youtu.be/BjvVJOS7xPE?si=NtPLuZzAbGNbe6gO
39,HanumanJi,Strotam,Panchmukhi Hanuman Stotra,Panchmukhi Hanuman Stotra,True,PzjSJIswc6s,https://youtu.be/PzjSJIswc6s?si=VeKkvGCYklpFQt0d
