Deity,Category,Title EN,Assigned Image,Match Logic
GaneshJi,Mantra,Om Vakratundaya Hum,https://ddappcdn.techxr.co/ShubhDarshan/Thumbnails/BhajanThumbnails/GaneshJi/vakrthund_mahakaya_4x.webp,Random GaneshJi mantra
GaneshJi,Mantra,Om Hasti Pishachi Likha Swaha,https://ddappcdn.techxr.co/ShubhDarshan/Thumbnails/BhajanThumbnails/GaneshJi/mool_beej_mantra_4x.webp,Random GaneshJi mantra
GaneshJi,Mantra,Om Lambodaray Namah,https://ddappcdn.techxr.co/ShubhDarshan/Thumbnails/BhajanThumbnails/GaneshJi/om_lambodaraye_namah_4x.webp,Direct Match
GaneshJi,Mantra,Om Vikataya Namah,https://ddappcdn.techxr.co/ShubhDarshan/Thumbnails/BhajanThumbnails/GaneshJi/om_vinayakaya_namah_4x.webp,Fuzzy (om vinayakaya namah)
GaneshJi,Mantra,Om Vighnanashanaya Namah,https://ddappcdn.techxr.co/ShubhDarshan/Thumbnails/BhajanThumbnails/GaneshJi/om_vinayakaya_namah_4x.webp,Fuzzy (om vinayakaya namah)
GaneshJi,Strotam,Ganesh Kavach,https://ddappcdn.techxr.co/ShubhDarshan/Thumbnails/BhajanThumbnails/GaneshJi/shri_ganesh_kavach_4x.webp,Fuzzy (shri ganesh kavach)
GaneshJi,Strotam,Ganesh Hridaya Stotra,https://ddappcdn.techxr.co/ShubhDarshan/Thumbnails/BhajanThumbnails/GaneshJi/snakat_nasak_stotram_4x.webp,Fuzzy (shri sankatnashan ganesh stotra)
GaneshJi,Ashtakam,Ganesh Ashtakam,https://ddappcdn.techxr.co/ShubhDarshan/Thumbnails/BhajanThumbnails/Default/Default.webp,Default
GaneshJi,Stuti,Shri Ganesh Pancharatna,https://ddappcdn.techxr.co/ShubhDarshan/Thumbnails/BhajanThumbnails/GaneshJi/snakat_nasak_stotram_4x.webp,Fuzzy (shri sankatnashan ganesh stotra)
GaneshJi,Stuti,Pratham Tula Vandito,https://ddappcdn.techxr.co/ShubhDarshan/Thumbnails/BhajanThumbnails/GaneshJi/tulsi_das_kart_ganesh_stuti_4x.webp,Random GaneshJi stuti
GaneshJi,Stuti,Gajananm Bhut Ganadi Sevitam,https://ddappcdn.techxr.co/ShubhDarshan/Thumbnails/BhajanThumbnails/GaneshJi/namami_te_gangnam_4x.webp,Fuzzy (namami te gajananm)
GaneshJi,Stuti,Ganesh Vandana,https://ddappcdn.techxr.co/ShubhDarshan/Thumbnails/BhajanThumbnails/GaneshJi/sidhivinayak_stuti_4x.webp,Random GaneshJi stuti
GaneshJi,Aarti,Sukh Karta Dukhaharta,https://ddappcdn.techxr.co/ShubhDarshan/Thumbnails/BhajanThumbnails/GaneshJi/sakh_karta_dukh_harta_4x.webp,Fuzzy (sukhakarta dukhaharta varta vighnachi)
GaneshJi,Aarti,Om Shendur Lal Chadhayo Achchha Gajmukh Ko,https://ddappcdn.techxr.co/ShubhDarshan/Thumbnails/BhajanThumbnails/GaneshJi/sindoor_lal_chadyao_acha_4x.webp,Fuzzy (shendur lal chadhayo achchha gajmukh ko)
GaneshJi,Shloka,Vakratunda Mahakaya,https://ddappcdn.techxr.co/ShubhDarshan/Thumbnails/BhajanThumbnails/GaneshJi/vakrthund_mahakaya_4x.webp,Fuzzy (vakratunda mahakaya mantra)
GaneshJi,Shloka,Gajananm Bhuta Ganadi,https://ddappcdn.techxr.co/ShubhDarshan/Thumbnails/BhajanThumbnails/GaneshJi/namami_te_gangnam_4x.webp,Fuzzy (namami te gajananm)
GaneshJi,Shloka,Agajanan Padmarkam,https://ddappcdn.techxr.co/ShubhDarshan/Thumbnails/BhajanThumbnails/GaneshJi/aghjanan_parthak_4x.webp,Fuzzy (agajanan padmarkam shloka)
GaneshJi,Shloka,Sumukhashchaikadantashcha,https://ddappcdn.techxr.co/ShubhDarshan/Thumbnails/BhajanThumbnails/GaneshJi/aghjanan_parthak_4x.webp,Random GaneshJi shloka
GaneshJi,Shloka,Om Shreem Gam Saubhagya Ganapataye Varvarada Sarvajanma Me Vashamanya Swaha,https://ddappcdn.techxr.co/ShubhDarshan/Thumbnails/BhajanThumbnails/GaneshJi/varkthund_mahakaya_4x.webp,Random GaneshJi shloka
GaneshJi,Bhajan,Deva Shri Ganesha,https://ddappcdn.techxr.co/ShubhDarshan/Thumbnails/BhajanThumbnails/Default/Default.webp,Default
GaneshJi,Bhajan,Maurya Re Bappa Maurya Re,https://ddappcdn.techxr.co/ShubhDarshan/Thumbnails/BhajanThumbnails/Default/Default.webp,Default
GaneshJi,Bhajan,Gajanana Shri Ganaraya,https://ddappcdn.techxr.co/ShubhDarshan/Thumbnails/BhajanThumbnails/Default/Default.webp,Default
GaneshJi,Bhajan,Suno Ganpati Bappa Maurya,https://ddappcdn.techxr.co/ShubhDarshan/Thumbnails/BhajanThumbnails/Default/Default.webp,Default
GaneshJi,Bhajan,Ganpati Apne Gaon Chale,https://ddappcdn.techxr.co/ShubhDarshan/Thumbnails/BhajanThumbnails/Default/Default.webp,Default
GaneshJi,Bhajan,Mere Man Mandir Mein Tum Bhagwan Rahe,https://ddappcdn.techxr.co/ShubhDarshan/Thumbnails/BhajanThumbnails/Default/Default.webp,Default
GaneshJi,Katha,Shri Ganesh Janm Katha,https://ddappcdn.techxr.co/ShubhDarshan/Thumbnails/BhajanThumbnails/GaneshJi/ganesh_janam_katha_4x.webp,Direct Match
GaneshJi,Katha,Prithvi Parikrama Katha,https://ddappcdn.techxr.co/ShubhDarshan/Thumbnails/BhajanThumbnails/GaneshJi/ganesh_janam_katha_4x.webp,Random GaneshJi katha
GaneshJi,Katha,Sankashti Chaturthi Vrat Katha,https://ddappcdn.techxr.co/ShubhDarshan/Thumbnails/BhajanThumbnails/GaneshJi/ganesh_janam_katha_4x.webp,Random GaneshJi katha
GaneshJi,Katha,Ganesh Ji Ne Kuber Ka Ghamand Kaise Toda,https://ddappcdn.techxr.co/ShubhDarshan/Thumbnails/BhajanThumbnails/GaneshJi/mahabharat_kaise_likhi_gyi_4x.webp,Random GaneshJi katha
GaneshJi,Katha,Kaunsa Shrap Mila Chandradev Ko Shri Ganesh Ji Dwara?,https://ddappcdn.techxr.co/ShubhDarshan/Thumbnails/BhajanThumbnails/GaneshJi/snakat_nasak_stotram_4x.webp,Fuzzy (shri sankatnashan ganesh stotra)
GaneshJi,Katha,Mahabharat Ka Lekhan Kisne Kiya Tha,https://ddappcdn.techxr.co/ShubhDarshan/Thumbnails/BhajanThumbnails/GaneshJi/mahabharat_kaise_likhi_gyi_4x.webp,Fuzzy (mahabharat lekhan katha)
GaneshJi,Katha,Riddhi-Siddhi Vivah Katha,https://ddappcdn.techxr.co/ShubhDarshan/Thumbnails/BhajanThumbnails/GaneshJi/mahabharat_kaise_likhi_gyi_4x.webp,Random GaneshJi katha
GaneshJi,Katha,Shri Ganesh Ke Ekdant Avatar Ki Kahani.,https://ddappcdn.techxr.co/ShubhDarshan/Thumbnails/BhajanThumbnails/GaneshJi/snakat_nasak_stotram_4x.webp,Fuzzy (shri sankatnashan ganesh stotra)
GaneshJi,Katha,Hua Itna Bhayankar Yudh Ke Parshuram Ji Ganesh Ji Ka Daant Tod Diya,https://ddappcdn.techxr.co/ShubhDarshan/Thumbnails/BhajanThumbnails/GaneshJi/mahabharat_kaise_likhi_gyi_4x.webp,Random GaneshJi katha
SubahUthteHi,misc,Karadarshanam,https://ddappcdn.techxr.co/ShubhDarshan/Thumbnails/BhajanThumbnails/Default/Default.webp,Default
SubahUthteHi,misc,Prithvi Kshama Prarthana,https://ddappcdn.techxr.co/ShubhDarshan/Thumbnails/BhajanThumbnails/Default/Default.webp,Default
SubahUthteHi,misc,Navgrah Prabhat Mantra,https://ddappcdn.techxr.co/ShubhDarshan/Thumbnails/BhajanThumbnails/Default/Default.webp,Default
SubahUthteHi,misc,Mangal Smaran Mantra,https://ddappcdn.techxr.co/ShubhDarshan/Thumbnails/BhajanThumbnails/Default/Default.webp,Default
