SHIV JI 						
						
MANTRA 						
			LINK	Kab Sunte Hain		
	पंचाक्षरी मन्त्र	ॐ नमः शिवाय	https://youtu.be/bc1obsjb58c?si=oQIb1G1Fx1wOJ8Gw	ॐ नमः शिवाय' मंत्र का जाप सुबह स्नान के बाद (विशेषकर सूर्योदय के समय) या सूर्यास्त के समय करना सबसे उत्तम माना जाता है। सोमवार के दिन इस मंत्र का जाप विशेष फलदायी होता है, लेकिन पवित्रता और श्रद्धा के साथ इसे किसी भी समय किया जा सकता है।		
	महामृत्युंजय मंत्र	ॐ त्र्यम्बकं यजामहे सुगन्धिं पुष्टिवर्धनम्। उर्वारुकमिव बन्धनान्मृत्योर्मुक्षीय माऽमृतात्॥	https://youtu.be/OV9LXGOXjgs?si=0izGm1eYkmBS0343	महामृत्युंजय मंत्र (Om Tryambakam Yajamahe) को ब्रह्ममुहूर्त (सुबह 4 से 6 बजे) सुनना या जाप करना सबसे उत्तम माना जाता है। इसे सोमवार के दिन, शिवरात्रि पर, या बीमारी, भय और मानसिक अशांति के समय कभी भी सुना जा सकता है। यह मंत्र जीवन, स्वास्थ्य और सकारात्मक ऊर्जा प्रदान करने के लिए अत्यंत शक्तिशाली है। 		
	रुद्र मंत्र	ॐ नमो भगवते रुद्राय॥	https://youtu.be/iEAPaA9Yf1s?si=lGmdeqXsCqtQQzx1	शिव रुद्र मंत्र (Rudra Mantra) या श्री रुद्रम का श्रवण (सुनना) अत्यंत फलदायी माना जाता है। इसे विशेष रूप से प्रदोष काल (सूर्यास्त के समय) में सुनना सबसे उत्तम है।		
	शिव गायत्री मंत्र	ॐ तत्पुरुषाय विद्महे महादेवाय धीमहि। तन्नो रुद्रः प्रचोदयात॥	https://youtu.be/ytV08faCJwg?si=eXY_cZGO-FsueNS1	शिव गायत्री मंत्र (ॐ तत्पुरुषाय विद्महे महादेवाय धीमहि तन्नो रुद्रः प्रचोदयात्) का श्रवण और जाप करना अत्यंत कल्याणकारी माना जाता है। इसे सुनने का सबसे उत्तम समय सुबह और शाम माना जाता है, जो सुबह की शांति और सकारात्मक ऊर्जा के साथ दिन की शुरुआत करने या शाम को दिन भर की थकान और नकारात्मकता को दूर करने के लिए होता है। 		
	शिव स्तुति मंत्र	ॐ साम्ब सदा शिवाय नमः	https://youtu.be/Ly_Md1OOyTE?si=nCT-_G7dkRiPuF7QQ	सोमवार , प्रदोष काल , सुबह और शाम , सावन का महीना , शिवरात्रि और महाशिवरात्रि , सोम प्रदोष व्रत: , पूजा के अंत में: , मन की शांति के लिए 		
						
STOTRAM						
	शिव तांडव स्तोत्रम (संक्षिप्त अंश - रावण रचित) [1]	जटाटवीगलज्जल प्रवाहपावितस्थले,	https://youtu.be/S980-z1qx3g?si=skvwCt7XGHenuWbP	शिव तांडव स्तोत्र का पाठ सोमवार को, प्रदोष काल (सूर्यास्त के समय) या सुबह स्नान के बाद करना सबसे उत्तम माना जाता है। यह स्तोत्र भगवान शिव की उग्र ऊर्जा का प्रतीक है, इसलिए इसे आत्मविश्वास, आत्मबल बढ़ाने और आर्थिक बाधाओं को दूर करने के लिए विशेष रूप से गाया या पढ़ा जाना चाहिए	रावण रचित शिव तांडव.mp3	
		गलेऽवलम्ब्य लम्बितां भुजङ्गतुङ्गमालिकाम्।				
		डमड्डमड्डमड्डमन्निनादवड्डमर्वयं,				
		चकार चण्डताण्डवं तनोतु नः शिवः शिवम्॥१॥				
						
		विभुं व्यापकं ब्रह्मवेदस्वरूपम्॥				
		निजं निर्गुणं निर्विकल्पं निरीहम्।				
		चिदाकाशमाकाशवासं भजेऽहम्॥				
						
	शिव पंचाक्षर स्तोत्रम्:	नागेन्द्रहाराय त्रिलोचनाय	https://youtu.be/3rJ4HVA9cII?si=euKFMGNZX2c0rt5p	इसे रोज़ाना सुबह स्नान के बाद, शिव पूजा के समय, या सावन मास (Sawan Month) में कभी भी पढ़ा जा सकता है। यह स्तोत्र कालसर्प दोष को दूर करने और भगवान शिव की कृपा प्राप्त करने के लिए अत्यंत प्रभावशाली है।	शिव पंचाक्षर स्तोत्रम्_ - नागेन्द्रहाराय त्रिलोचनाय.mp3	
		भस्माङ्गरागाय महेश्वराय ।				
		नित्याय शुद्धाय दिगम्बराय				
		तस्मै नकाराय नमः शिवाय				
	शिव महिम्न स्तोत्र:	महिम्नः पारं ते परमविदुषो यद्यसदृशी	https://youtu.be/TXXioV0_9-o?si=wEaulnEEeYWdA4C5	प्रतिदिन सुबह या शाम की पूजा के समय		
		स्तुतिर्ब्रह्मादीनामपि तदवसन्नास्त्वयि गिरः				
		अथाऽवाच्यः सर्वः स्वमतिपरिणामावधि गृणन्				
		ममाप्येष स्तोत्रे हर निरपवादः परिकरः				
	वेदसार शिव स्तोत्रम्	पशूनां पतिं पापनाशं परेशं गजेन्द्रस्य कृत्तिं वसानं वरेण्यम।	https://youtu.be/3_8Z1uqPWZ0?si=2Vlmkq5w0gw_xDCZ	प्रतिदिन प्रातःकाल स्नान के बाद या सोमवार व प्रदोष व्रत के दिनों में		
		जटाजूटमध्ये स्फुरद्गाङ्गवारिं महादेवमेकं स्मरामि स्मरारिम				
						
						
						
CHALISA						
						
	शिव चालीसा	जय गिरिजा पति दीन दयाला ।	https://youtu.be/-mUoM-sSzkc?si=a3TP0d2Z_b5S-kCr	सुबह (ब्रह्म मुहूर्त: 4 से 6 बजे) या शाम (प्रदोष काल) में करना सबसे उत्तम और फलदायी माना जाता है। प्रतिदिन के अलावा, सोमवार, सावन माह, प्रदोष तिथि और शिवरात्रि पर विशेष रूप से पाठ करना चाहिए	शिव चालीसा.mp3	
		सदा करत सन्तन प्रतिपाला ॥				
						
ASHTAKAM						
	श्री रुद्राष्टकम् (संक्षिप्त अंश - तुलसीदास रचित)	नमामीशमीशान निर्वाणरूपम्।	https://youtu.be/081bLdQKX-Q?si=msq2vM1Qng2BQD9H	नमामीशमीशान' (शिव रुद्राष्टकम) का पाठ प्रतिदिन सुबह या शाम को स्नानोपरांत करना सबसे उत्तम है। विशेष रूप से सोमवार, प्रदोष व्रत, श्रावण मास, और महाशिवरात्रि पर इसका पाठ अत्यधिक कल्याणकारी और मनोकामनाएं पूरी करने वाला माना जाता है। 		
						
STUTI						
	शिव स्तुति	आशुतोष शशाँक शेखर, चन्द्र मौली चिदंबरा।	https://youtu.be/JfXPpBVPkcU?si=fMvP8aJMsyMYOHU3	सुबह (ब्रह्ममुहूर्त) या शाम की पूजा के समय किया जाता है। यह स्तुति महादेव के शांत स्वरूप की महिमा गाती है, इसलिए इसे मानसिक शांति और प्रसन्नता के लिए रोज़ या महाशिवरात्रि/सावन जैसे विशेष दिनों में सुना जा सकता है।		
		कोटि कोटि प्रणाम शम्भू, कोटि नमन दिगम्बरा				
						
AARTI						
	ॐ जय शिव ओंकारा	जय शिव ओमकारा प्रभु हर शिव ओमकारा	https://youtu.be/BhwOproElxU?si=hlOKkSda3B3Cka2O	इसे विशेष रूप से सोमवार के दिन, सावन मास में, महाशिवरात्रि पर, और दैनिक पूजा में गाया जाता है।	ॐ जय शिव ओंकारा.mp3	
		ब्रह्मा विष्णु सदाशिव ब्रह्मा विष्णु सदाशिव				
		अर्द्धांगी धारा				
		ॐ जय शिव ओमकारा				
						
SHLOKAS						
						
	ध्यान श्लोक (पूजा हेतु)	कर्पूरगौरं करुणावतारं संसारसारम् भुजगेंद्रहारम्।	https://youtu.be/HdFD5S7pdtw?si=LGbLbPv5GY_tE3Ab	कर्पूरगौरं करुणावतारं संसारसारम् भुजगेंद्रहारम्।.mp3		
		सदावसन्तं हृदयारविन्दे भवं भवानीसहितं नमामि॥				
						
BHAJAN						
	-	शिव शंकर को जिसने पूजा	https://youtu.be/w7HbgKcQS_w?si=KCJVUE_VkpIA8tKc			
	-	सुबह सुबह ले शिव का नाम	https://youtu.be/TplRlUULXz8?si=w-ebBCmQx88smeOh			
	-	हे शम्भू बाबा मेरे भोले नाथ	https://youtu.be/i6rDYxNpubk?si=Z1cSGYW4UCmuEsd6			
	-	चलो शिव शंकर के मंदिर में भक्तों	https://youtu.be/uY5YAvygOJs?si=8dBC9W82qOAvOxTd			
	-	भोले भंडारी सबके ही भंडार भरे	https://youtu.be/zfhnJkZbtB0?si=J0cNKvR_xcs-AdL7			
	-	शंकर तेरी जटा में बहती है गंगधारा	https://youtu.be/ZxAZksjaUUU?si=pFBqlNlDgtv6Qwxu	शंकर तेरी जटा में बहती है गंगधारा.mp3		
						
KATHA 						
	-	सम्पूर्ण शिव पुराण सार	https://youtu.be/d-zWzSTNOMo?si=8Gtyc3crPXZxHvXM			
	-	शिव जी का जन्म कैसे हुआ	https://youtu.be/g4iZhS7EvQc?si=tajjxxWlYauvwgSt			
	-	सम्पूर्ण गाथा नीलकंठ की	https://youtu.be/zUdp2fQJemw?si=jdzUfbtXHLEoG4OC			
	-	नंदी कैसे बने शिवजी के सवारी	https://youtu.be/2hUQyXzKgOo?si=dvtDXcOirPxrEizn			
