video_id,title_key,first_index,member_indices,old_tags_first,new_tags_first,map_tags,map_unique_titles_norm,status
bc1obsjb58c,panchakshari mantra,0,"0,436",Mantra|Shivji,Mantra|Shivji,LoveAndRelationship|Mantra|Peace|Shivji|Strength,पंचाक्षरी मन्त्र|रुद्र मंत्र|शिव मंत्र|सर्व सुरक्षा मंत्र,skipped_multi_title_map
OV9LXGOXjgs,mahamrityunjay mantra,1,"1,437,656,718,892",Mantra|Shivji,Mantra|Shivji,Happiness|Health|MahaShivratri|Mantra|Peace|Shivji|Shloka|Strength|Strotam,महामृत्युंजय|महामृत्युंजय मंत्र|महामृत्युंजय स्तोत्र,skipped_multi_title_map
iEAPaA9Yf1s,rudra mantra,2,"2,438",Mantra|Shivji,Mantra|Shivji,MahaShivratri|Mantra|Shivji,रुद्र मंत्र,skipped_single_title_mismatch
ytV08faCJwg,shiv gayatri mantra,3,"3,439",Mantra|Shivji,Mantra|Shivji,MahaShivratri|Mantra|Shivji,रुद्र गायत्री मंत्र|शिव गायत्री मंत्र,skipped_multi_title_map
Ly_Md1OOyTE,shiv stuti mantra,4,"4,440",Mantra|Shivji,Mantra|Shivji,LoveAndRelationship|MahaShivratri|Mantra|Shivji,कार्य सिद्धि मंत्र|शिव शक्ति मंत्र|शिव स्तुति मंत्र,skipped_multi_title_map
3rJ4HVA9cII,shiv panchakshar stotram:,6,"6,442",Strotam|Shivji,Strotam|Shivji,Shivji|Strotam|Success,शिव पंचाक्षर स्तोत्र|शिव पंचाक्षर स्तोत्रम्:,skipped_multi_title_map
TXXioV0_9-o,shiv mahimn stotra:,7,"7,443",Strotam|Shivji,Strotam|Shivji,Shivji|Strotam,शिव महिम्न स्तोत्र:,skipped_single_title_mismatch
3_8Z1uqPWZ0,vedasar shiv stotram,8,"8,444",Strotam|Shivji,Strotam|Shivji,Shivji|Strotam,वेदसार शिव स्तोत्रम्,skipped_single_title_mismatch
-mUoM-sSzkc,shiv chalisa,9,"9,445,726",Chalisa|Shivji,Chalisa|Shivji,Chalisa|Shivji|Strength,शिव चालीसा,skipped_single_title_mismatch
081bLdQKX-Q,shri rudrashtakam (sankshipt ansh - tulsidas rachit),10,"10,446",Ashtakam|Shivji,Ashtakam|Shivji,Ashtakam|Shivji,श्री रुद्राष्टकम् (संक्षिप्त अंश - तुलसीदास रचित),skipped_single_title_mismatch
JfXPpBVPkcU,shiv stuti,11,"11,447",Stuti|Shivji,Stuti|Shivji,Shivji|Stuti,शिव स्तुति,skipped_single_title_mismatch
BhwOproElxU,om jai shiv omkara,12,"12,448",Aarti|Shivji,Aarti|Shivji,Aarti|Shivji,ॐ जय शिव ओंकारा,skipped_single_title_mismatch
HdFD5S7pdtw,dhyan shlok (puja hetu),13,"13,449",Shloka|Shivji,Shloka|Shivji,Shivji|Shloka,ध्यान श्लोक (पूजा हेतु),skipped_single_title_mismatch
w7HbgKcQS_w,shiv shankar ko jisne puja,14,"14,424,450",Bhajan|Shivji,Bhajan|Shivji,Bhajan|Health|MahaShivratri|Shivji,शिव शंकर को जिसने पूजा,skipped_single_title_mismatch
TplRlUULXz8,subah subah le shiv ka naam,15,"15,451",Bhajan|Shivji,Bhajan|Shivji,Bhajan|Shivji,सुबह सुबह ले शिव का नाम,skipped_single_title_mismatch
i6rDYxNpubk,he shambhu baba mere bhole nath,16,"16,452",Bhajan|Shivji,Bhajan|Shivji,Bhajan|Shivji,हे शम्भू बाबा मेरे भोले नाथ,skipped_single_title_mismatch
uY5YAvygOJs,chalo shiv shankar ke mandir mein bhakto,17,"17,453",Bhajan|Shivji,Bhajan|Shivji,Bhajan|Shivji,चलो शिव शंकर के मंदिर में भक्तों,skipped_single_title_mismatch
zfhnJkZbtB0,bhole bhandari sabke hi bhandar bhare,18,"18,454",Bhajan|Shivji,Bhajan|Shivji,Bhajan|Shivji,भोले भंडारी सबके ही भंडार भरे,skipped_single_title_mismatch
ZxAZksjaUUU,shankar teri jata mein behti hai gangdhara,19,"19,455",Bhajan|Shivji,Bhajan|Shivji,Bhajan|Shivji,शंकर तेरी जटा में बहती है गंगधारा,skipped_single_title_mismatch
d-zWzSTNOMo,sampurn shiv puran saar,20,"20,456",Katha|Shivji,Katha|Shivji,Katha|Shivji,सम्पूर्ण शिव पुराण सार,skipped_single_title_mismatch
g4iZhS7EvQc,shiv ji ka janm kaise hua,21,"21,457",Katha|Shivji,Katha|Shivji,Katha|Shivji,शिव जी का जन्म कैसे हुआ,skipped_single_title_mismatch
zUdp2fQJemw,sampurn gatha neelkanth ki,22,"22,458",Katha|Shivji,Katha|Shivji,Katha|Shivji,सम्पूर्ण गाथा नीलकंठ की,skipped_single_title_mismatch
2hUQyXzKgOo,nandi kaise bane shivji ke sawari,23,"23,459",Katha|Shivji,Katha|Shivji,Katha|Shivji,नंदी कैसे बने शिवजी के सवारी,skipped_single_title_mismatch
4lokTkaO9xs,aakhir kyon shiv-parvati ne liya tha ardhanarishwar roop?,24,"24,460",Katha|Shivji,Katha|Shivji,Katha|Shivji,आखिर क्यों शिवपार्वती ने लिया था अर्धनारीश्वर रूप ?,skipped_single_title_mismatch
iEIJBAKx0wI,kyon mila tha chandrama ko shrap?,25,"25,461",Katha|Shivji,Katha|Shivji,Katha|Shivji,क्यों मिला था चंद्रमा को श्राप ?,skipped_single_title_mismatch
My9aRwekYGk,12 jyotirling ki kathayein kya hai?,26,"26,462",Katha|Shivji,Katha|Shivji,Katha|Shivji,12 ज्योतिर्लिंग की कथाएँ क्या है?,skipped_single_title_mismatch
oa1tHpermgU,shiv ne apne hi putra ganesh ka sir kyon kata?,27,"27,463",Katha|Shivji,Katha|Shivji,Katha|Shivji,शिव ने अपने ही पुत्र गणेश का सिर क्यों काटा?,skipped_single_title_mismatch
o5Uk1sxGBZU,hanuman beej mantra,28,"28,464,711",Mantra|HanumanJi,Mantra|HanumanJi,HanumanJi|Mantra|Strength,हनुमान बीज मंत्र,skipped_single_title_mismatch
AXDLxXIbxAs,hanuman gayatri mantra:,29,"29,465",Mantra|HanumanJi,Mantra|HanumanJi,HanumanJi|Mantra|Shloka,हनुमान गायत्री|हनुमान गायत्री मंत्र:,skipped_multi_title_map
iWd6VAWduZg,manojavam marutatulyavegam mantra:,30,"30,466",Mantra|HanumanJi,Mantra|HanumanJi,HanumanJayanti|HanumanJi|Happiness|LoveAndRelationship|Mantra|Shloka|Strength|Stuti,मनोजवं मारुततुल्यवेगं मंत्र:|मनोजवम मंत्र|हनुमान श्लोक|हनुमान स्तुति|हनुमान स्तुति मंत्र,skipped_multi_title_map
BYDOl5Sm-HE,rudravatar hanuman mantra (mool mantra:),31,"31,467",Mantra|HanumanJi,Mantra|HanumanJi,HanumanJi|Mantra,रुद्रावतार हनुमान मंत्र (मूल मंत्र:),skipped_single_title_mismatch
OhF0O9nb5t8,anjaneya mantra,32,"32,468",Mantra|HanumanJi,Mantra|HanumanJi,HanumanJi|Mantra,आंजनेय मंत्र,skipped_single_title_mismatch
FUpzgvsWkL8,pramukh mantra:,33,"33,469",Mantra|HanumanJi,Mantra|HanumanJi,HanumanJayanti|HanumanJi|Health|Mantra|Shloka,प्रमुख मंत्र:|स्वास्थ्य मंत्र|हनुमान स्वास्थ्य|हनुमान स्वास्थ्य मंत्र,skipped_multi_title_map
_97POkIQ_kQ,raksha kavach mantra:,34,"34,470",Mantra|HanumanJi,Mantra|HanumanJi,HanumanJi|Mantra,रक्षा कवच मंत्र:,skipped_single_title_mismatch
V1-7O0EPaJk,maruti stotra,35,"35,471",Strotam|HanumanJi,Strotam|HanumanJi,HanumanJi|Strotam,मारुती स्तोत्र,skipped_single_title_mismatch
AjCLVm6gKQc,shri hanuman tandav stotra,36,"36,472",Strotam|HanumanJi,Strotam|HanumanJi,HanumanJi|Strotam,श्री हनुमान तांडव स्तोत्र,skipped_single_title_mismatch
BjvVJOS7xPE,shri anjaneya dwadashnam stotram,37,"37,473",Strotam|HanumanJi,Strotam|HanumanJi,HanumanJi|Strotam,श्री आञ्जनेय द्वादशनाम स्तोत्रम्,skipped_single_title_mismatch
PzjSJIswc6s,panchmukhi hanuman stotra,38,"38,474",Strotam|HanumanJi,Strotam|HanumanJi,HanumanJi|Strotam,पंचमुखी हनुमान स्तोत्र,skipped_single_title_mismatch
AETFvQonfV8,hanuman chalisa,39,"39,475,724",Chalisa|HanumanJi,Chalisa|HanumanJi,Chalisa|Dussehra|HanumanJayanti|RamNavami|Strength|Success,श्री हनुमान चालीसा|हनुमान चालीसा,skipped_multi_title_map
HH_a6aRO1TE,sankatmochan hanuman ashtak,40,"40,476",Ashtakam|HanumanJi,Ashtakam|HanumanJi,Ashtakam|Bhajan|HanumanJayanti|Strength|Strotam|Success,संकट मोचन नाम तिहारो|संकट मोचन हनुमानाष्टक|संकटमोचन हनुमान अष्टक|हनुमान अष्टक|हनुमान अष्टकम,skipped_multi_title_map
CIl1O1GwOfk,"atulitbaladhamam hemashailabhadeham,",41,"41,477",Stuti|HanumanJi,Stuti|HanumanJi,HanumanJayanti|Happiness|Health|Mantra|Shloka|Stuti|Success,"अतुलित बल मंत्र|अतुलितबलधामं हेमशैलाभदेहं,|अतुलितबलधामं हेमशैलाभदेहं, अनुजवनकृशानुं ज्ञानिनामग्रगण्यम्। सकलगुणनिधानं वानराणामधीशं, रघुपतिप्रियभक्तं वातजातं नमामि।|हनुमान स्तुति",skipped_multi_title_map
r7GJ8GoGSD8,aarti keeje hanuman lala ki,42,"42,478",Aarti|HanumanJi,Aarti|HanumanJi,Aarti|Dussehra,आरती कीजै हनुमान लला की,skipped_single_title_mismatch
4PZzUru94JY,buddhirbalam yasho dhairyam nirbhayatvamarogata.,43,"43,479",Shloka|HanumanJi,Shloka|HanumanJi,Shloka,बुद्धिर्बलं यशो धैर्यं निर्भयत्वमरोगता।,skipped_single_title_mismatch
AXDLxXIbxAs,hanuman gayatri,44,"44,480",Shloka|HanumanJi,Shloka|HanumanJi,HanumanJi|Mantra|Shloka,हनुमान गायत्री|हनुमान गायत्री मंत्र:,skipped_multi_title_map
xvaY6-PgNyY,markatesh mahotsah sarvashok vinashan.,45,"45,481",Shloka|HanumanJi,Shloka|HanumanJi,Shloka,मर्कटेश महोत्साह सर्वशोक विनाशन।,skipped_single_title_mismatch
faCtr2ajTuE,karya siddhi,46,"46,482",Shloka|HanumanJi,Shloka|HanumanJi,Shloka,कार्य सिद्धि,skipped_single_title_mismatch
sDhrWWWBQLI,duniya chale na shri ram ke bina,48,"48,484",Bhajan|HanumanJi,Bhajan|HanumanJi,Bhajan|Dussehra|HanumanJayanti,दुनिया चले न श्री राम के बिना|दुनिया चले ना श्री राम|दुनिया चले ना श्री राम के बिना,skipped_multi_title_map
n4fZknyZlsk,he dukh bhanjan maruti nandan,49,"49,420,485",Bhajan|HanumanJi,Bhajan|HanumanJi,Bhajan|HanumanJayanti|Health,हे दुख भंजन मारुति नंदन,skipped_single_title_mismatch
