group_id,count,title_hi,title_en,tags_sorted,content_urls,indexes
1,4,अच्युतम केशवम,Achyutam Keshavam,Aarti|DurjaJi,https://youtu.be/3yczGKnskts?si=FvdBzJon0L1sUzSE,397|424|1069|1126
2,4,श्री रामचंद्र कृपालु,Shri Ramchandra Kripalu,Aarti|DurjaJi,https://youtu.be/leVoi6kkp3o?si=v3atP52xIcpUEFs8,400|429|1072|1131
3,4,राम नाम के हीरे मोती,Ram Naam Ke Heere Moti,Aarti|DurjaJi,https://youtu.be/6BJR_j4FHz4?si=hRLU-bLSvuuKWHgs,403|426|1075|1128
4,4,ओ पालनहारे,O Palanhare,Aarti|DurjaJi,https://youtu.be/kbMinfmC3E0?si=EORk1j1UQxAqRLLu,407|425|1079|1127
5,4,मेरा आपकी कृपा से,Mera Aapki Kripa Se,Aarti|DurjaJi,https://youtu.be/C9EespXQCGE?si=IyEpmHHsEOLzOuXF,408|423|1080|1125
6,4,आदित्य हृदय स्तोत्र,Aditya Hridaya Stotra,Aarti|DurjaJi,https://youtu.be/invPCYDaWUE?si=-cwsyKTg-INmshaY,410|430|1102|1152
7,4,राम रक्षा स्तोत्र,Ram Raksha Stotra,Aarti|DurjaJi,https://youtu.be/y-Xv63obhKI?si=M5eZNo40oYpESgJA,413|433|1105|1155
8,4,नारायण कवच,Narayan Kavach,Aarti|DurjaJi,https://youtu.be/BBV0HQI3NB4?si=LjPC9hE-1m_fAsBa,419|437|1111|1159
9,2,ॐ शं शनैश्चराय नमः,Om Sham Shanaishcharaya Namah,Mantra|ShaniiDevJi,https://youtu.be/kB0dFMBE7-g?si=wlcGDLcwvs5ytuqk,164|607
10,2,शनि बीज मंत्र,Shani Beej Mantra,Mantra|ShaniiDevJi,https://youtu.be/kgvV-TdtWJI?si=Rv6I8CTy3sGjF2Ty,165|608
11,2,नीलांजन समाभासं,Nilanjana Samabhasam,Mantra|ShaniiDevJi,https://youtu.be/oI7nbhh9oBU?si=Ln_Gw5XMwjb0sGQ3,166|609
12,2,शनि गायत्री मंत्र),Shani Gayatri Mantra),Mantra|ShaniiDevJi,https://youtu.be/j2sTr6JZdco?si=m6tpnX4rqpF7vLQE,167|610
13,2,शनि वज्र पंजर कवचम्,Shani Vajra Panjar Kavacham,ShaniiDevJi|Strotam,https://youtu.be/pTcdxwTWstI?si=lyJbdwKdQI3eTfXv,168|611
