group_id,youtube_url,count,index,title_hi,title_en,tags
1,https://youtu.be/OV9LXGOXjgs?si=0izGm1eYkmBS0343,7,1,महामृत्युंजय मंत्र,Mahamrityunjay Mantra,Mantra|Shivji
1,https://youtu.be/OV9LXGOXjgs?si=0izGm1eYkmBS0343,7,437,महामृत्युंजय मंत्र,Mahamrityunjay Mantra,Health|Happiness|Mantra|Strength|Shivji
1,https://youtu.be/OV9LXGOXjgs?si=0izGm1eYkmBS0343,7,603,महामृत्युंजय मंत्र,Mahamrityunjay Mantra,Katha|Wealth|DurjaJi
1,https://youtu.be/OV9LXGOXjgs?si=0izGm1eYkmBS0343,7,665,महामृत्युंजय मंत्र,Mahamrityunjay Mantra,Health|Happiness|Katha|Strength|DurjaJi
1,https://youtu.be/OV9LXGOXjgs?si=0izGm1eYkmBS0343,7,810,महामृत्युंजय,Mahamrityunjay,Aarti|DurjaJi
1,https://youtu.be/OV9LXGOXjgs?si=0izGm1eYkmBS0343,7,839,महामृत्युंजय मंत्र,Mahamrityunjay Mantra,Aarti|Health|DurjaJi
1,https://youtu.be/OV9LXGOXjgs?si=0izGm1eYkmBS0343,7,862,महामृत्युंजय,Mahamrityunjay,Aarti|Health|DurjaJi
2,https://youtu.be/bcs4geISuy0?si=iIlUMsgUwP0VAQdf,7,135,महालक्ष्मी बीज मंत्र,Mahalakshmi Beej Mantra,Mantra|LakshmiJi
2,https://youtu.be/bcs4geISuy0?si=iIlUMsgUwP0VAQdf,7,569,महालक्ष्मी बीज मंत्र,Mahalakshmi Beej Mantra,Mantra|LakshmiJi
2,https://youtu.be/bcs4geISuy0?si=iIlUMsgUwP0VAQdf,7,615,महालक्ष्मी बीज मंत्र,Mahalakshmi Beej Mantra,Katha|DurjaJi
2,https://youtu.be/bcs4geISuy0?si=iIlUMsgUwP0VAQdf,7,729,महालक्ष्मी बीज मंत्र,Mahalakshmi Beej Mantra,Katha|Wealth|Strength|DurjaJi
2,https://youtu.be/bcs4geISuy0?si=iIlUMsgUwP0VAQdf,7,871,महालक्ष्मी मंत्र,Mahalakshmi Mantra,Aarti|Wealth|DurjaJi
2,https://youtu.be/bcs4geISuy0?si=iIlUMsgUwP0VAQdf,7,909,लक्ष्मी बीज मंत्र,Lakshmi Beej Mantra,Aarti|Wealth|DurjaJi
2,https://youtu.be/bcs4geISuy0?si=iIlUMsgUwP0VAQdf,7,910,कुबेर मंत्र,Kuber Mantra,Aarti|Wealth|DurjaJi
3,https://youtu.be/leVoi6kkp3o?si=v3atP52xIcpUEFs8,7,400,श्री रामचंद्र कृपालु,Shri Ramchandra Kripalu,Aarti|DurjaJi
3,https://youtu.be/leVoi6kkp3o?si=v3atP52xIcpUEFs8,7,637,श्री राम स्तुति,Shri Ram Stuti,Happiness|Katha|DurjaJi
3,https://youtu.be/leVoi6kkp3o?si=v3atP52xIcpUEFs8,7,714,राम स्तुति (श्री रामचन्द्र..),Ram Stuti (Shri Ramchandra..),Katha|Knowledge|DurjaJi
3,https://youtu.be/leVoi6kkp3o?si=v3atP52xIcpUEFs8,7,820,श्री राम स्तुति,Shri Ram Stuti,Aarti|Happiness|DurjaJi
3,https://youtu.be/leVoi6kkp3o?si=v3atP52xIcpUEFs8,7,854,राम स्तुति,Ram Stuti,Aarti|Happiness|DurjaJi
3,https://youtu.be/leVoi6kkp3o?si=v3atP52xIcpUEFs8,7,881,श्री राम स्तुति,Shri Ram Stuti,Aarti|Strength|DurjaJi
3,https://youtu.be/leVoi6kkp3o?si=v3atP52xIcpUEFs8,7,929,श्री राम स्तुति,Shri Ram Stuti,Aarti|DurjaJi
4,https://youtu.be/nwRoHC83wx0?si=f1Akd4C3BSvXNJaE,7,601,गायत्री मंत्र,Gayatri Mantra,Katha|DurjaJi
