youtube_video_id,unique_exact_url_count,unique_exact_urls_sample,line_numbers_sample
aTFeZxXkL78,5,https://youtu.be/aTFeZxXkL78?si=HFj5YBPqHTqebgZi|https://youtu.be/aTFeZxXkL78?si=HaE-tYiH834XPpXn|https://youtu.be/aTFeZxXkL78?si=dnS6JCgCFy-zz_xG|https://youtu.be/aTFeZxXkL78?si=duxsc5pwTGoNRBpq|https://youtu.be/aTFeZxXkL78?si=m5lUjY4i8013BWXj,162|460|943|1130|1195|1457
HH_a6aRO1TE,4,https://youtu.be/HH_a6aRO1TE?si=k0J6WxtRY4t4yhi1|https://youtu.be/HH_a6aRO1TE?si=kxNH5n_ZR6TlNb72|https://youtu.be/HH_a6aRO1TE?si=oQ72oac9OI-c9FEL|https://youtu.be/HH_a6aRO1TE?si=rTY4-xxT-cJfpz4W,111|135|836|1203|1538
OKRVaXU01kI,4,https://youtu.be/OKRVaXU01kI?si=3YMdFbLtHjcGJ4sE|https://youtu.be/OKRVaXU01kI?si=JiW7DxUS6igTBq2G|https://youtu.be/OKRVaXU01kI?si=_uw6ukhpng-Bgeg6|https://youtu.be/OKRVaXU01kI?si=iCg0c1WVrhyIyDez,599|647|1119|1165
1y2tRqtND1Y,3,https://youtu.be/1y2tRqtND1Y?si=Oc1VslQStdIS9Z13|https://youtu.be/1y2tRqtND1Y?si=j1s6RWWKKwE9EShB|https://youtu.be/1y2tRqtND1Y?si=wVq_YTMXmSeZFrYr,523|750|1063|1309
3yczGKnskts,3,https://youtu.be/3yczGKnskts?si=--z5nTrp4XW8mSRd|https://youtu.be/3yczGKnskts?si=FvdBzJon0L1sUzSE|https://youtu.be/3yczGKnskts?si=kXnjK3iThd_asoFy,266|570|753|1025|1081|1156|1236|1287|1312|1325
6LO2PRgbutc,3,https://youtu.be/6LO2PRgbutc?si=5jlVXHicQQJxmGEG|https://youtu.be/6LO2PRgbutc?si=vBmy2NmB3RzkWjbW|https://youtu.be/6LO2PRgbutc?si=yww6-9PsBDlf4jy1,554|1318|1517
CIl1O1GwOfk,3,https://youtu.be/CIl1O1GwOfk?si=0PLRHfGike1eIJPN|https://youtu.be/CIl1O1GwOfk?si=S3QRakW4DlnGi8eb|https://youtu.be/CIl1O1GwOfk?si=l5pF_ixmqVuHcdOn,114|129|1074|1140|1210|1531
FUpzgvsWkL8,3,https://youtu.be/FUpzgvsWkL8?si=IR8jegQlpVL8NtTl|https://youtu.be/FUpzgvsWkL8?si=XDpQmK9jpt227gC0|https://youtu.be/FUpzgvsWkL8?si=qjtBffQzDjZu3rmc,88|1117|1168|1529
IKGvPex_NQM,3,https://youtu.be/IKGvPex_NQM?si=1DrV4jmYl-n-B0rm|https://youtu.be/IKGvPex_NQM?si=wE8sis6qTbHLMdVg|https://youtu.be/IKGvPex_NQM?si=xMEMFFJwC-anq-r8,925|973|1190
Tssx17scqO4,3,https://youtu.be/Tssx17scqO4?si=WWEOC-sAGbJPwWoB|https://youtu.be/Tssx17scqO4?si=gBPrZ12Ss-Z8E65l|https://youtu.be/Tssx17scqO4?si=uOt96Cx7Sz5DPI5b,164|462|1458
