Index,Actual Name (Hindi),Actual Name (English),Short Name (Hindi),Short Name (English)
102,ॐ ह्रीं कार्तवीर्यार्जुनो नाम राजा बाहु सहस्रवान। यस्य स्मरेण मात्रेण हृतं नष्टं च लभ्यते॥,Om Hreem Kartaviryajuno Naam Raja Bahu Sahasravan. Yasya Smarena Matrena Hritam Nashtam Cha Labhyate.,कार्तवीर्यार्जुन मंत्र,Kartaviryarjuna Mantra
154,नमस्तेऽस्तु महामाये श्रीपीठे सुरपूजिते। शङ्खचक्रगदाहस्ते महालक्ष्मि नमोऽस्तु ते,Namastestu Mahamaye Shripithe Surapujite. Shankhachakragadahaste Mahalakshmi Namostu Te,नमस्तेऽस्तु महामाये,Namastestu Mahamaye
167,ॐ नीलांजनसमाभासं रविपुत्रं यमाग्रजम्। छायामार्तण्डसंभूतं तं नमामि शनैश्चरम्॥,Om Nilanjanasamabhasam Raviputram Yamagrajam. Chhayamartandasambhutam Tam Namami Shanaishcharam.,नीलांजन समाभासं,Nilanjana Samabhasam
179,सूर्यपुत्रो दीर्घदेहो विशालाक्षः शिवप्रियः। मन्दचारः प्रसन्नात्मा पीडां हरतु मे शनिः॥,Suryaputro Dirghadeho Vishalakshah Shivapriyah. Mandacharah Prasannatma Peedam Haratu Me Shanih.,सूर्यपुत्रो दीर्घदेहो,Suryaputro Dirghadeho
194,राम रामेति रामेति रमे रामे मनोरमे। सहस्त्रनाम तत्सुल्यं रामनाम वरानने॥,Ram Rameti Rameti Rame Rame Manorame. Sahasranama Tatsulyam Ramanama Varanane.,राम रामेति रामेति,Ram Rameti Rameti
195,आपदामपहर्तारं दातारं सर्वसंपदाम्। लोकाभिरामं श्रीरामं भूयो भूयो नमाम्यहम्॥,Apadamapahartaram Dataram Sarvasampadam. Lokabhiramam Shriramam Bhuyo Bhuyo Namamyaham.,आपदामपहर्तारं,Apadamapahartaram
211,नीलाम्बुजश्यामलकोमलांगं सीतासमारोपितवामभागम्। पाणौ महासायकचारुचापं नमामि रामं रघुवंशनाथम्॥,Nilambujashyamalakomalangam Sitasamaropitavamabhagam. Panau Mahasayakacharuchapam Namami Ramam Raghuvanshanatham.,नीलाम्बुज श्यामल,Nilambuja Shyamala
212,रामाय रामभद्राय रामचन्द्राय वेधसे। रघुनाथाय नाथाय सीतायाः पतये नमः॥,Ramaya Ramabhadraya Ramachandraya Vedhase. Raghunathaya Nathaya Sitayah Pataye Namah.,रामाय रामभद्राय,Ramaya Ramabhadraya
213,लोकाभिरामं रणरंगधीरं राजीवनेत्रं रघुवंशनाथम्। कारुण्यरूपं करुणाकरं तं श्रीरामचन्द्रं शरणं प्रपद्ये॥,Lokabhiramam Ranarangadhiram Rajivanetram Raghuvanshanatham. Karunyarupam Karunakaram Tam Shriramachandram Sharanam Prapadye.,लोकाभिरामं रणरंगधीरं,Lokabhiramam Ranarangadhiram
214,"आपदामपहर्तारं दातारं सर्वसंपदाम्।
लोकाभिरामं श्रीरामं भूयो भूयो नमाम्यहम्॥","Apadamapahartaram Dataram Sarvasampadam.
Lokabhiramam Shriramam Bhuyo Bhuyo Namamyaham.",आपदामपहर्तारं,Apadamapahartaram
255,"सुख करता दुखहर्ता, वार्ता विघ्नाची नूर्वी पूर्वी प्रेम कृपा जयाची","Sukh Karta Dukhaharta, Varta Vighnachi Nurvi Purvi Prem Krupa Jayachi",सुखकर्ता दुखहर्ता,Sukh Karta Dukhaharta
257,वक्रतुण्ड महाकाय सूर्यकोटि समप्रभ।निर्विघ्नं कुरु मे देव सर्वकार्येषु सर्वदा॥,Vakratunda Mahakaya Suryakoti Samaprabha. Nirvighnam Kuru Me Dev Sarvakaryeshu Sarvada.,वक्रतुण्ड महाकाय,Vakratunda Mahakaya
258,"गजाननं भूत गणादि सेवितं, कपित्थ जम्बू फल चारू भक्षणम् । उमासुतं शोक विनाशकारकम्, नमामि विघ्नेश्वर पाद पंकजम् ॥","Gajananm Bhut Ganadi Sevitam, Kapittha Jambu Phala Charu Bhakshanam. Umasutam Shoka Vinashakarakam, Namami Vighneshwar Pada Pankajam.",गजाननं भूतगणादि,Gajananm Bhuta Ganadi
259,अगजानन पद्मार्कं गजानन अहर्निशम् ।अनेकदन्तं भक्तानां एकदन्त उपास्महे ॥,Agajanan Padmarkam Gajanan Aharnisham. Anekadantam Bhaktanam Ekadanta Upasmahe.,अगजानन पद्मार्कं,Agajanan Padmarkam
260,सुमुखश्चैकदन्तश्च कपिलो गजकर्णकः ।लम्बोदरश्च विकटो विघ्ननाशो विनायकः ॥,Sumukhashchaikadantashcha Kapilo Gajakarnakah. Lambodarashcha Vikato Vighnanasho Vinayakah.,सुमुखश्चैकदन्तश्च,Sumukhashchaikadantashcha
274,"जानिये कैसे जन्म हुआ देवी रिद्धि-सिद्धि का, कैसे हुआ श्री गणेश से विवाह","Janiye Kaise Janm Hua Devi Riddhi-Siddhi Ka, Kaise Hua Shri Ganesh Se Vivah",रिद्धि-सिद्धि विवाह कथा,Riddhi-Siddhi Vivah Katha
307,वसुदेवसुतं देवं कंसचाणूरमर्दनम्। देवकीपरमानन्दं कृष्णं वन्दे जगद्गुरुम्॥,Vasudevasutam Devam Kamsachanuramardanam. Devakiparamanandam Krishnam Vande Jagadgurum.,वसुदेवसुतं देवं,Vasudevasutam Devam
308,मूकं करोति वाचालं पंगुं लंघयते गिरिम्। यत्कृपा तमहं वन्दे परमानन्द माधवम्॥,Mukam Karoti Vachalam Pangum Langhayate Girim. Yatkrupa Tamaham Vande Paramananda Madhavam.,मूकं करोति वाचालं,Mukam Karoti Vachalam
309,यदा यदा ही धर्मस्य ग्लानिर्भवति भारत। अभ्युत्थानमधर्मस्य तदात्मानं सृजाम्यहम्॥,Yada Yada Hi Dharmasya Glanirbhavati Bharata. Abhyutthanamadharmasya Tadatmanam Srijamyaham.,यदा यदा ही धर्मस्य,Yada Yada Hi Dharmasya
310,कर्मण्येवाधिकारस्ते मा फलेषु कदाचन। मा कर्मफलहेतुर्भूर्मा ते सङ्गोऽस्त्वकर्मणि॥,Karmanyevadhikaraste Ma Phaleshu Kadachana. Ma Karmaphalaheturbhurma Te Sangostvakarmani.,कर्मण्येवाधिकारस्ते,Karmanyevadhikaraste
