line_number,category_or_section,title,youtube_url
677,,पृथ्वी क्षमा प्रार्थना,https://youtube.com/shorts/Is7xRqhvlvU?si=qARyNsuIj0WI9zTT
678,,नवग्रह प्रभात मंत्र,https://youtube.com/shorts/A01Ms9WILjA?si=KGdLKpQz4FqoFG9l
679,,मंगल स्मरण मंत्र,https://youtube.com/shorts/aOHRIfSBjwY?si=zMFYh2Zdz7XqFqEC
680,,पंचकन्या स्मरण,https://youtube.com/shorts/r4k-aM0MJ2w?si=Qjs577cDJd79KsFl
683,,स्नान मंत्र,https://youtu.be/psLJhxiQ85o?si=2-SNh1BWmsciWde8
684,,वरुण मंत्र,https://youtu.be/xD_nK8TBYUQ?si=TjCJDoV0_CM_-6Xh
688,,सूर्य अर्घ्य,https://youtube.com/shorts/R-DMV8NHR3g?si=EIPgctHvzEgL2I5Q
689,,गायत्री मंत्र,https://youtube.com/shorts/DnPBZvI1YCg?si=2O3c1NfZk4fj_OzH
691,,चंदन लगाने का मंत्र,https://youtube.com/shorts/gzd3cfS-SIE?si=LbgxNx5RT8Dak9i3
692,,तुलसी प्रार्थना,https://youtube.com/shorts/_fGRay5SF5k?si=NRI8iKUB1ASVK3nK
695,,ब्रह्मार्पण मंत्र,https://youtu.be/CY0le0A1spY?si=FnNo2p4vCGM_2sQi
696,,अन्नपूर्णा स्तुति,https://youtube.com/shorts/RM8VZu4aFFA?si=hcKNCncaQbr3yGl6
700,,अगस्त्य मंत्र,https://youtube.com/shorts/IXIA0ua2WDs?si=4cKvCmZ8Ew4lFZnq
701,,कृतज्ञता,https://youtu.be/RqWyAbDZkxg?si=FTezx_rtvlQGO4hP
702,,चरणामृत मंत्र,https://youtube.com/shorts/1z4ohQ5wjVQ?si=qFSjLi160P6jWR1Q
705,,आसन मंत्र,https://youtu.be/yXymIcFJVTY?si=E3QSPPbXbaayLBXy
706,,दीप मंत्र,https://youtube.com/shorts/jBIA9Ap-VR0?si=3Gxj8KQQsu6h2icW
707,,गणेश वंदना,https://youtube.com/shorts/hzQqfRM-mtA?si=whkvJBQngpHbomLh
710,,आचमन मंत्र,https://youtu.be/EeGBRq880uU?si=5C-5VPQu7MQKBmTM
711,,पुष्पाञ्जलि श्लोक,https://youtube.com/shorts/vYcSZAYfzaM?si=x1ZVFUHW2SanoxGv
714,,पूर्णमदः मंत्र,https://youtube.com/shorts/l-Ky7bRU7Ys?si=O7bu3zjBGyfRjwVm
715,,प्रदक्षिणा मंत्र,https://youtube.com/shorts/5fSrgIFS_EM?si=URx57pYNWGu7fTip
718,,हनुमान मंत्र,https://youtu.be/2dv4rUhuBEg?si=uTSd8zAclqdT1YTC
719,,रक्षा मंत्र,https://youtu.be/DkoN-b0YrAs?si=7Oa0wGZzVspJfpt9
720,,शयन मंत्र,https://youtube.com/shorts/W8_pcfb0Mgk?si=Nb9rTpxGI6TMzTDo
721,,क्षमा याचना,https://youtu.be/zM3ML2Exxlo?si=YJtOX3Gvds7hHr85
722,,विष्णु स्मरण,https://youtube.com/shorts/G-LD7NIP8Vs?si=spLFLTo06gHTTYLv
821,1,राम रक्षा स्तोत्र,https://youtu.be/EMeSTcffrEI?si=Le3PQ2ZAfKVecpc4
822,2,पंचमुखी हनुमान कवच,https://youtu.be/BzPbfftJ8Ho?si=P8Ys7ZeqbXwkIgDP
823,3,दुर्गा सप्तश्लोकी,https://youtu.be/bwTk15-oRys?si=f4hVOcSw7hJxd58b
825,5,नृसिंह स्तोत्रम,https://youtu.be/RLNrZUy6Ydo?si=lEGDZ8CTRcLnTbWK
826,6,कालभैरव अष्टकम,https://youtu.be/BsEqI1NZA-E?si=BvvWKg3Y9kURK_Uu
831,11,सुदर्शन अष्टकम,https://youtu.be/0KRtx2CxXo8?si=ABjvz1r2s-Yy7cTA
834,14,नृसिंह कवच,https://youtu.be/AafMDVg6W94?si=f4-0vp9yvV0pyLGk
835,15,देवी कवच,https://youtu.be/rqgvyF9LBHk?si=Q2TMKsuJzBA3pvYX
838,18,महाकाली स्तोत्र,https://youtu.be/7wsmGmotCIE?si=wo9dJcGTmbVuH9CG
839,19,कार्तिकेय कवच,https://youtu.be/AQc1UVfxpY0?si=BYDIeeQL-JBS_CpL
1294,1,श्री राम का आगमन,https://youtu.be/tj6yKxSPQZQ?si=_x0KiFTx5Dwnc27J
1295,2,नरकासुर वध,https://youtu.be/V5bvJlR38xE?si=Cmm8uCXgEtB9CWux
1338,2,पूतना वध की कथा,https://youtu.be/s6eY3KmckxM?si=snJjDcySedBSkWXG
1340,4,कालिया नाग मर्दन,https://youtu.be/RsBjj-D9yNA?si=V-Ft5Yq0hG1iLEl7
1350,2,अपराजिता मंत्र,https://youtu.be/L1thhiT_Hq0?si=p77WkcVu8MRuE5Mk
1351,3,भय नाशक मंत्र,https://youtu.be/snRINfVgunw?si=OBhIF1xWjPyu43K6
1353,5,सिद्धि मंत्र,https://youtu.be/vlc0vWvSrOM?si=kqXnkvDI7kec51Je
1355,7,राम गायत्री मंत्र,https://youtu.be/7jwEnIwT_kk?si=Mm_qCEbi9iNrHK62
1360,2,आरती कीजै रामलला की,https://youtu.be/3_QR2HxO3N4?si=Yits6lNC08jSD5UK
1379,2,मंगल भवन अमंगल हारी,https://youtu.be/0rWQi2OWezo?si=B6lBpLuUPknXnb2D
1380,3,मेरे सरकार आए हैं,https://youtu.be/ukq70I4YDP8?si=iYTlYHdKfxHOlv8_
1381,4,सुख के सब साथी,https://youtu.be/4VqeqbzJxbc?si=0n0edKyje9U0o6le
1385,8,राम जी का नाम लेकर,https://youtu.be/rPUuIMR7IJg?si=Ih0RY7ld8sJvMgQ6
1386,9,कभी राम बनके कभी श्याम,https://youtu.be/mZjySBOJj10?si=hNqlQH7zayev0e3e
1392,2,महिषासुर मर्दन,https://youtu.be/897iHQ6bPbU?si=yutaXaaJ0l7YzH9U
1404,6,महाकाल मंत्र,https://youtu.be/vlc0vWvSrOM?si=kqXnkvDI7kec51Je
1412,3,लिंगाष्टकम,https://youtu.be/6D1FdZczNXI?si=HhkiWFaq0I_CSFs-
1414,5,द्वादश ज्योतिर्लिंग स्तोत्र,https://youtu.be/QgkBIoUeAa0?si=etWL2dCG7qHJW8UX
1415,6,शिव पंचाक्षर स्तोत्र,https://youtu.be/xFvfdjw2eno?si=d8Bz_map05AF4Ekj
1416,7,बिल्वाष्टकम,https://youtu.be/s9o8JD8PU6w?si=NdbU-vNmPd5XXH0H
1417,8,शिव महिम्न स्तोत्र,https://youtu.be/xaKaZvgkKm8?si=S78-0Gmt-ZokKrpm
1418,9,वेदसार शिव स्तोत्र,https://youtu.be/cNvPNnhiSo8?si=8xy43ALgaQcYsQV-
1424,2,मेरा भोला है भंडारी,https://youtu.be/gaJR15qWTDA?si=YjZV_xqQyOwRcX-i
1425,3,शिव कैलाशों के वासी,https://youtu.be/PlIoHp6v3LI?si=5OhUwGm9BeenQ6AQ
1426,4,मन मेरा मंदिर शिव मेरी पूजा,https://youtu.be/S6HFRZmZrTI?si=l6hw1fGuaYEXLM0K
1427,5,सत्यम शिवम सुंदरम,https://youtu.be/3HwifzYsSeA?si=3-gdKJEEngGEIV6f
1428,6,नगर में जोगी आया,https://youtu.be/awGyMNeThgQ?si=ADmIyULOAZL2gy7C
