file,index,title_hi,title_en,urls,old_tags,new_tags,resolution
Mantra-Aur_audio_automation/new-tracks-payload.json,0,पंचाक्षरी मन्त्र,Panchakshari Mantra,https://youtu.be/bc1obsjb58c?si=oQIb1G1Fx1wOJ8Gw,Mantra|Peace|Shivji|Shloka|Strength|Wealth,Mantra|Shivji,title_match:1.000|line:5
Mantra-Aur_audio_automation/new-tracks-payload.json,1,महामृत्युंजय मंत्र,Mahamrityunjay Mantra,https://youtu.be/OV9LXGOXjgs?si=0izGm1eYkmBS0343,Katha|Mantra|Peace|Shivji|Shloka|Strength|Wealth,Mantra|Shivji,title_match:1.000|line:6
Mantra-Aur_audio_automation/new-tracks-payload.json,2,रुद्र मंत्र,Rudra Mantra,https://youtu.be/iEAPaA9Yf1s?si=lGmdeqXsCqtQQzx1,Katha|Mantra|Shivji|Wealth,Mantra|Shivji,title_match:1.000|line:7
Mantra-Aur_audio_automation/new-tracks-payload.json,3,शिव गायत्री मंत्र,Shiv Gayatri Mantra,https://youtu.be/ytV08faCJwg?si=eXY_cZGO-FsueNS1,Katha|Mantra|Shivji|Wealth,Mantra|Shivji,title_match:1.000|line:8
Mantra-Aur_audio_automation/new-tracks-payload.json,4,शिव स्तुति मंत्र,Shiv Stuti Mantra,https://youtu.be/Ly_Md1OOyTE?si=nCT-_G7dkRiPuF7QQ,Katha|Mantra|Shivji|Shloka|Wealth,Mantra|Shivji,title_match:1.000|line:9
Mantra-Aur_audio_automation/new-tracks-payload.json,5,शिव तांडव स्तोत्रम (संक्षिप्त अंश - रावण रचित) [1],Shiv Tandav Stotram,https://youtu.be/S980-z1qx3g?si=skvwCt7XGHenuWbP,Katha|Shivji|Strength|Strotam|Wealth,Shivji|Strotam,title_match:1.000|line:12
Mantra-Aur_audio_automation/new-tracks-payload.json,6,शिव पंचाक्षर स्तोत्रम्:,Shiv Panchakshar Stotram:,https://youtu.be/3rJ4HVA9cII?si=euKFMGNZX2c0rt5p,Shivji|Strotam|Wealth,Shivji|Strotam,title_match:1.000|line:21
Mantra-Aur_audio_automation/new-tracks-payload.json,9,शिव चालीसा,Shiv Chalisa,https://youtu.be/-mUoM-sSzkc?si=a3TP0d2Z_b5S-kCr,Chalisa|Shivji|Strength,Chalisa|Shivji,title_match:1.000|line:36
Mantra-Aur_audio_automation/new-tracks-payload.json,14,शिव शंकर को जिसने पूजा,Shiv Shankar Ko Jisne Puja,https://youtu.be/w7HbgKcQS_w?si=KCJVUE_VkpIA8tKc,Bhajan|Katha|Shivji|Stuti|Wealth,Bhajan|Shivji,title_match:1.000|line:58
Mantra-Aur_audio_automation/new-tracks-payload.json,28,हनुमान बीज मंत्र,Hanuman Beej Mantra,https://youtu.be/o5Uk1sxGBZU?si=aIuPQqmzIrromxMt,HanumanJi|Mantra|Strength,HanumanJi|Mantra,title_match:1.000|line:79
