first_index,all_indices,title_hi,title_en,youtube_url,tags
1,1,पंचाक्षरी मन्त्र,Panchakshari Mantra,https://youtu.be/bc1obsjb58c?si=oQIb1G1Fx1wOJ8Gw,"LoveAndRelationship, Mantra, Peace, Shivji, Strength"
2,"2, 459, 486, 544, 699",महामृत्युंजय मंत्र,Mahamrityunjay Mantra,https://youtu.be/OV9LXGOXjgs?si=0izGm1eYkmBS0343,"Happiness, Health, MahaShivratri, Mantra, Peace, Shivji, Strength"
3,3,रुद्र मंत्र,Rudra Mantra,https://youtu.be/iEAPaA9Yf1s?si=lGmdeqXsCqtQQzx1,"MahaShivratri, Mantra, Shivji"
4,"4, 460",शिव गायत्री मंत्र,Shiv Gayatri Mantra,https://youtu.be/ytV08faCJwg?si=eXY_cZGO-FsueNS1,"MahaShivratri, Mantra, Shivji"
5,"5, 461",शिव स्तुति मंत्र,Shiv Stuti Mantra,https://youtu.be/Ly_Md1OOyTE?si=nCT-_G7dkRiPuF7QQ,"LoveAndRelationship, MahaShivratri, Mantra, Shivji"
6,6,शिव तांडव स्तोत्रम (संक्षिप्त अंश - रावण रचित) [1],Shiv Tandav Stotram,https://youtu.be/S980-z1qx3g?si=skvwCt7XGHenuWbP,"MahaShivratri, Shivji, Strength, Strotam"
7,7,शिव पंचाक्षर स्तोत्रम्:,Shiv Panchakshar Stotram:,https://youtu.be/3rJ4HVA9cII?si=euKFMGNZX2c0rt5p,"Shivji, Strotam, Success"
8,8,शिव महिम्न स्तोत्र:,Shiv Mahimn Stotra:,https://youtu.be/TXXioV0_9-o?si=wEaulnEEeYWdA4C5,"Shivji, Strotam"
9,9,वेदसार शिव स्तोत्रम्,Vedasar Shiv Stotram,https://youtu.be/3_8Z1uqPWZ0?si=2Vlmkq5w0gw_xDCZ,"Shivji, Strotam"
10,10,शिव चालीसा,Shiv Chalisa,https://youtu.be/-mUoM-sSzkc?si=a3TP0d2Z_b5S-kCr,"Chalisa, Shivji, Strength"
11,11,श्री रुद्राष्टकम् (संक्षिप्त अंश - तुलसीदास रचित),Shri Rudrashtakam (Sankshipt Ansh - Tulsidas Rachit),https://youtu.be/081bLdQKX-Q?si=msq2vM1Qng2BQD9H,"Ashtakam, Shivji"
12,12,शिव स्तुति,Shiv Stuti,https://youtu.be/JfXPpBVPkcU?si=fMvP8aJMsyMYOHU3,"Shivji, Stuti"
13,13,ॐ जय शिव ओंकारा,Om Jai Shiv Omkara,https://youtu.be/BhwOproElxU?si=hlOKkSda3B3Cka2O,"Aarti, Shivji"
14,14,ध्यान श्लोक (पूजा हेतु),Dhyan Shlok (Puja Hetu),https://youtu.be/HdFD5S7pdtw?si=LGbLbPv5GY_tE3Ab,"Shivji, Shloka"
15,15,शिव शंकर को जिसने पूजा,Shiv Shankar Ko Jisne Puja,https://youtu.be/w7HbgKcQS_w?si=KCJVUE_VkpIA8tKc,"Bhajan, Health, MahaShivratri, Shivji"
16,16,सुबह सुबह ले शिव का नाम,Subah Subah Le Shiv Ka Naam,https://youtu.be/TplRlUULXz8?si=w-ebBCmQx88smeOh,"Bhajan, Shivji"
17,17,हे शम्भू बाबा मेरे भोले नाथ,He Shambhu Baba Mere Bhole Nath,https://youtu.be/i6rDYxNpubk?si=Z1cSGYW4UCmuEsd6,"Bhajan, Shivji"
18,18,चलो शिव शंकर के मंदिर में भक्तों,Chalo Shiv Shankar Ke Mandir Mein Bhakto,https://youtu.be/uY5YAvygOJs?si=8dBC9W82qOAvOxTd,"Bhajan, Shivji"
19,19,भोले भंडारी सबके ही भंडार भरे,Bhole Bhandari Sabke Hi Bhandar Bhare,https://youtu.be/zfhnJkZbtB0?si=J0cNKvR_xcs-AdL7,"Bhajan, Shivji"
20,20,शंकर तेरी जटा में बहती है गंगधारा,Shankar Teri Jata Mein Behti Hai Gangdhara,https://youtu.be/ZxAZksjaUUU?si=pFBqlNlDgtv6Qwxu,"Bhajan, Shivji"
21,21,सम्पूर्ण शिव पुराण सार,Sampurn Shiv Puran Saar,https://youtu.be/d-zWzSTNOMo?si=8Gtyc3crPXZxHvXM,"Katha, Shivji"
22,22,शिव जी का जन्म कैसे हुआ,Shiv Ji Ka Janm Kaise Hua,https://youtu.be/g4iZhS7EvQc?si=tajjxxWlYauvwgSt,"Katha, Shivji"
23,23,सम्पूर्ण गाथा नीलकंठ की,Sampurn Gatha Neelkanth Ki,https://youtu.be/zUdp2fQJemw?si=jdzUfbtXHLEoG4OC,"Katha, Shivji"
24,24,नंदी कैसे बने शिवजी के सवारी,Nandi Kaise Bane Shivji Ke Sawari,https://youtu.be/2hUQyXzKgOo?si=dvtDXcOirPxrEizn,"Katha, Shivji"
25,25,आखिर क्यों शिवपार्वती ने लिया था अर्धनारीश्वर रूप ?,Aakhir Kyon Shiv-Parvati Ne Liya Tha Ardhanarishwar Roop?,https://youtu.be/4lokTkaO9xs?si=C19AkxnlrW3NFtQ2,"Katha, Shivji"
26,26,क्यों मिला था चंद्रमा को श्राप ?,Kyon Mila Tha Chandrama Ko Shrap?,https://youtu.be/iEIJBAKx0wI?si=bBiJfhIDY2Psljnj,"Katha, Shivji"
27,27,12 ज्योतिर्लिंग की कथाएँ क्या है?,12 Jyotirling Ki Kathayein Kya Hai?,https://youtu.be/My9aRwekYGk?si=jbP4Jiv89W7Ij-D7,"Katha, Shivji"
28,28,शिव ने अपने ही पुत्र गणेश का सिर क्यों काटा?,Shiv Ne Apne Hi Putra Ganesh Ka Sir Kyon Kata?,https://youtu.be/oa1tHpermgU?si=VvSwaXWDjjjQ4FfT,"Katha, Shivji"
29,29,हनुमान बीज मंत्र,Hanuman Beej Mantra,https://youtu.be/o5Uk1sxGBZU?si=aIuPQqmzIrromxMt,"HanumanJi, Mantra, Strength"
30,30,हनुमान गायत्री मंत्र:,Hanuman Gayatri Mantra:,https://youtu.be/AXDLxXIbxAs?si=LRLn7ZBIQYzSWhry,"HanumanJi, Mantra, Shloka"
31,31,मनोजवं मारुततुल्यवेगं मंत्र:,Manojavam Marutatulyavegam Mantra:,https://youtu.be/iWd6VAWduZg?si=qrMcv4ayCSmC3X_q,"HanumanJayanti, HanumanJi, Happiness, LoveAndRelationship, Mantra, Shloka, Strength, Stuti"
32,32,रुद्रावतार हनुमान मंत्र (मूल मंत्र:),Rudravatar Hanuman Mantra (Mool Mantra:),https://youtu.be/BYDOl5Sm-HE?si=80FQdV8AYyPkhQOY,"HanumanJi, Mantra"
33,33,आंजनेय मंत्र,Anjaneya Mantra,https://youtu.be/OhF0O9nb5t8?si=FNJNYprwyEwqcGsC,"HanumanJi, Mantra"
34,"34, 463",प्रमुख मंत्र:,Pramukh Mantra:,https://youtu.be/FUpzgvsWkL8?si=XDpQmK9jpt227gC0,"HanumanJayanti, HanumanJi, Health, Mantra, Shloka"
35,35,रक्षा कवच मंत्र:,Raksha Kavach Mantra:,https://youtu.be/_97POkIQ_kQ?si=2Nyp0GAVtCXv1eOf,"HanumanJi, Mantra"
36,36,मारुती स्तोत्र,Maruti Stotra,https://youtu.be/V1-7O0EPaJk?si=0-xX1NUeG-kZ76qS,"HanumanJi, Strotam"
37,37,श्री हनुमान तांडव स्तोत्र,Shri Hanuman Tandav Stotra,https://youtu.be/AjCLVm6gKQc?si=acKj8AiCXoLASvM8,"HanumanJi, Strotam"
38,38,श्री आञ्जनेय द्वादशनाम स्तोत्रम्,Shri Anjaneya Dwadashnam Stotram,https://youtu.be/BjvVJOS7xPE?si=NtPLuZzAbGNbe6gO,"HanumanJi, Strotam"
39,39,पंचमुखी हनुमान स्तोत्र,Panchmukhi Hanuman Stotra,https://youtu.be/PzjSJIswc6s?si=VeKkvGCYklpFQt0d,"HanumanJi, Strotam"
40,"40, 464, 550",हनुमान चालीसा,Hanuman Chalisa,https://youtu.be/AETFvQonfV8?si=YezmW2nYi76Eoi6Q,"Chalisa, Dussehra, HanumanJayanti, HanumanJi, RamNavami, Strength, Strotam, Success"
41,41,संकटमोचन हनुमान अष्टक,Sankatmochan Hanuman Ashtak,https://youtu.be/HH_a6aRO1TE?si=oQ72oac9OI-c9FEL,"Ashtakam, Bhajan, HanumanJayanti, HanumanJi, Strength, Strotam, Success"
42,42,"अतुलितबलधामं हेमशैलाभदेहं,","Atulitbaladhamam Hemashailabhadeham,",https://youtu.be/CIl1O1GwOfk?si=l5pF_ixmqVuHcdOn,"HanumanJayanti, HanumanJi, Happiness, Health, Mantra, Shloka, Stuti, Success"
43,43,आरती कीजै हनुमान लला की,Aarti Keeje Hanuman Lala Ki,https://youtu.be/r7GJ8GoGSD8?si=5vKJpH3tM6QoFwzl,"Aarti, Dussehra, HanumanJi"
44,44,बुद्धिर्बलं यशो धैर्यं निर्भयत्वमरोगता।,Buddhirbalam Yasho Dhairyam Nirbhayatvamarogata.,https://youtu.be/4PZzUru94JY?si=unI0BALTYhAIdzmS,"HanumanJi, Shloka"
45,"45, 465",हनुमान गायत्री,Hanuman Gayatri,https://youtu.be/AXDLxXIbxAs?si=61Ag66LJRXixtINz,"HanumanJi, Mantra, Shloka"
46,46,मर्कटेश महोत्साह सर्वशोक विनाशन।,Markatesh Mahotsah Sarvashok Vinashan.,https://youtu.be/xvaY6-PgNyY?si=1wxv0hpaEyvvF4jN,"HanumanJi, Shloka"
47,47,कार्य सिद्धि,Karya Siddhi,https://youtu.be/faCtr2ajTuE?si=svKC2jHHd_23bpz4,"HanumanJi, Shloka"
48,48,अतुलितबलधामं श्लोक,Atulitbaladhamam Shlok,https://youtu.be/CIl1O1GwOfk?si=0PLRHfGike1eIJPN,"HanumanJayanti, HanumanJi, Happiness, Health, Mantra, Shloka, Stuti, Success"
49,49,दुनिया चले न श्री राम के बिना,Duniya Chale Na Shri Ram Ke Bina,https://youtu.be/sDhrWWWBQLI?si=x0qKB6U3A5R2FSQr,"Bhajan, Dussehra, HanumanJayanti, HanumanJi"
