youtube_video_id,tags,occurrence_count,unique_url_count,sample_url,line_numbers,titles
-1udu-1LpOo,Mantra|Peace|RamNavami|Ramji,3,1,https://youtu.be/-1udu-1LpOo?si=pmbGDDSFyq5uJhX0,387|749|1489,राम मंत्र | विजय मंत्र | श्री राम जय राम जय जय राम
-2zGr9Q91DI,GaneshJi|Katha,1,1,https://youtu.be/-2zGr9Q91DI?si=gMHKwO6c9ve5z6m4,511,कौनसा श्राप मिला चंद्रदेव को श्री गणेशजी द्वारा ?
-AXtzS1ytAc,Katha|KrishnaJi,1,1,https://youtu.be/-AXtzS1ytAc?si=5FAkilAIp3wx-dXp,584,माखन चोरी लीला
-AbMZAESCQI,Katha|LoveAndRelationship,1,1,https://youtu.be/-AbMZAESCQI?si=de-o6-JvfKhPqhZn,1041,रुक्मिणी हरण कथा
-F8zV3pMZA0,DurjaJi|Stuti,1,1,https://youtu.be/-F8zV3pMZA0?si=dvF2Hygp_GMOwI5C,630,शैलपुत्री स्तुति (नवदुर्गा की प्रथम स्तुति)
-FvHYW5-fYM,Mantra|RamNavami,1,1,https://youtu.be/-FvHYW5-fYM?si=opkQTKdooyDA3-Yb,1490,राम गायत्री मंत्र
-JYk923PASE,Bhajan|VishnuJi,1,1,https://youtu.be/-JYk923PASE?si=wruS-9FuWwzEb6X5,269,सारे जहाँ के मालिक तेरा ही आसरा है
-NqX8zOZ62w,Diwali|Knowledge|Mantra|Peace|Success,4,2,https://youtu.be/-NqX8zOZ62w?si=DWcjvgR9t3KYkz-D,739|872|1184|1265,नवग्रह सरस्वती | सरस्वती मंत्र
-YVDlWff_5o,Mantra|RamNavami|Ramji,2,2,https://youtu.be/-YVDlWff_5o?si=NnLptGoA8ty1GuGv,386|1492,शांति मंत्र | ॐ राम रामाय नमः
-ZrQZp2y3PQ,GaneshJi|Stuti,1,1,https://youtu.be/-ZrQZp2y3PQ?si=hCx7LtL3gBXFjUBg,184,सिद्धिविनायक स्तुति
-fUdc_XQ_r8,Katha|KrishnaJi,1,1,https://youtu.be/-fUdc_XQ_r8?si=KKo6QkS23XZzJqmh,587,द्रोपदी चीर हरण एक दर्दनाक सत्य कहानी
-mUoM-sSzkc,Chalisa|Shivji|Strength,2,1,https://youtu.be/-mUoM-sSzkc?si=a3TP0d2Z_b5S-kCr,36|846,शिव चालीसा
-pr1RUnmvyI,LoveAndRelationship|Strotam,1,1,https://youtu.be/-pr1RUnmvyI?si=2PVjdNGq0NJo_38s,999,अर्धनारीश्वर स्तोत्र
-rKAOaS7Q3I,Aarti|DurjaJi,1,1,https://youtu.be/-rKAOaS7Q3I?si=l89QDnB3pqc2rsJx,634,"जय अम्बे गौरी, मैया जय श्यामा गौरी (सबसे प्रसिद्ध)"
-y4wvehWSOM,Peace|Shloka,1,1,https://youtu.be/-y4wvehWSOM?si=ZvRpcq948PJcGRIX,791,गीता (अध्याय 6)
01mE3zDTifE,DurjaJi|Mantra,1,1,https://youtu.be/01mE3zDTifE?si=SoXuQjej3MBXv8AX,603,दुर्गा गायत्री
03goUB9QgHw,Peace|Stuti,1,1,https://youtu.be/03goUB9QgHw?si=HmTzxNfNMtTs68Vp,780,अपराध क्षमापन स्तुति
081bLdQKX-Q,Ashtakam|Shivji,1,1,https://youtu.be/081bLdQKX-Q?si=msq2vM1Qng2BQD9H,40,श्री रुद्राष्टकम् (संक्षिप्त अंश - तुलसीदास रचित)
0J1aNK16sFM,Aarti|LakshmiJi,1,1,https://youtu.be/0J1aNK16sFM?si=CSef8Vdgn6PlSsmM,317,ॐ जय लक्ष्मी माता
0KRtx2CxXo8,Ashtakam|Strength,1,1,https://youtu.be/0KRtx2CxXo8?si=ABjvz1r2s-Yy7cTA,831,सुदर्शन अष्टकम
0RuobL60yXw,Mantra|Peace,1,1,https://youtu.be/0RuobL60yXw?si=YucAR53psxKFia7Z,745,सो-हम मंत्र
